Estacao;Media
Brás; 1256164
Tatuapé; 655199
Engenheiro Goulart; 170414 
USP Leste; 138813
Comendador Ermelino; 215184 
São Miguel Paulista; 444842
Jardim Helena-Vila Mara; 403217
Itaim Paulista; 763800
Jardim Romano; 472869
Engenheiro Manoel Feio; 235139 
Itaquaquecetuba; 466795
Aracaré; 169598
Calmon Viana; 45972
