Estacao;Media
Luz,
Brás;773352
Juventude–Mooca; 244071
Ipiranga; 286674
Tamanduatei; 1729374
São Caetano; 715263
Utinga; 206467
Prefeito Saladino; 203862 
Santo André; 1349757
Capuava; 170006
Mauá; 1174678
Guapituba; 192580
Ribeirão Pires; 384373
Rio Grande da Serra; 227615
