Estacao;Media
Luz; 1878089
Brás; 1185328
Tatuapé; 120779
Corinthians-Itaquera; 1089315 
Dom Bosco; 470204
José Bonifácio; 438996
Guaianases; 18878116
Antonio Gianetti Neto; 370919 
Ferraz de Vasconcelos; 666634
Poá; 325318
Calmon Viana; 161811
Suzano; 975114
Jundiapeba; 195425
Bras Cubas; 195533
Mogi das Cruzes; 297006
Estudantes; 375526

