Estacao;Media
Luz; 144.93
República; 107.29
Higienópolis-Mackenzie; 27.72 
Paulista; 111.7
Oscar Freire; 25.29
Fradique Coutinho; 18.66
Faria Lima; 36.76
Pinheiros; 109.8
Butantã; 40.07
São Paulo-Morumbi; 26.35 
Vila Sônia; 50.52
