Estacao;Media
Osasco; 15.89
Presidente Altino; 3.28
Ceasa; 5.59
Villa Lobos–Jaguaré; 12.08 
Cidade Universitária; 6.61
Pinheiros; 104.98
Hebraica–Rebouças; 8.53
Cidade Jardim; 14.14
Vila Olímpia; 29.16
Berrini; 17.37
Morumbi; 21.64
Granja Julieta; 11.97
João Dias; 6.99
Santo Amaro; 85.91
Socorro; 9.3
Jurubatuba; 13.87
Autódromo; 10.06
Primavera–Interlagos; 15.21 
Grajaú; 45.09
Bruno Covas/Mendes–Vila Natal; 32.05
Varginha; 
