Estacao;Media
Bras;321248
Luz;1217396
Barra Funda;3413957
Água Branca;202378
Lapa;748135
Piqueri;223779
Pirituba;423517
Vila Clarice;99284
Jaraguá;428617
Vila Aurora;254131
Perus;548289
Caieiras;299085
Jardim Helena;403217
Itaim Paulista;763800
Franco da Rocha;1174678
Campo Limpo;60991
Varzea Paulista;60328
Calmon Viana;45972
Jundiai;10223287
