Estacao;Media
Armador Bueno; 2.38
Santa Rita; 0
Itapevi; 1.96
Eng Cardoso; 24.91
Sangrado Coração; 5.74 
Jandira; 13.17
Jardim Silveira; 6.84
Jardim Belval; 3.35
Barueri; 21.85
Antonio João; 14.01
Santa Terezinha; 1.9
Carapicuiba; 25.34
General Miguel Costa; 14.01 
Quitauna; 5.47
Comandante Sampaio; 9.33 
Osasco; 36.06
Presidente Altino; 6.61 
Imperatriz Leopoldina; 14.55
Domingos Moraes; 16.66
Lapa; 18.55
Palmeiras Barra Funda; 93.79
Julio Prestes; 3.07
